Title,Origin,Page,Link,Open Link,Composers,Tags,AI_Guessed_Key,Reference,Key,Genre,Key_Match,Predicted Key
_blank Tab,Sun City Tablature,,https://scukes.org/tablature/_blank%20Tab.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
_ChordChart,Sun City Education,,https://scukes.org/doc/Charts/_ChordChart.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
_Transpose,Sun City Education,,https://scukes.org/doc/Charts/_Transpose.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
1-2-3,Ukejams 2026 Songbook,44,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,D,Ukejams 2026 Songbook,,Pop/Rock,,
1-2-3,Dr. Uke 3900,,https://doctoruke.com/123.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
1234,Ukejams 2026 Songbook,48,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
2:19 Blues,Dr. Uke 3900,,https://doctoruke.com/219blues.pdf,Open Song,,Ukulele,C,Dr. Uke,,Blues / Soul,,
25 or 6 to 4,Dr. Uke 3900,,https://doctoruke.com/25or6to4.pdf,Open Song,,Ukulele,Am,Dr. Uke,,"Classic Rock, Pop/Rock",,
26 Miles,Sun City Uke Book 3,,https://scukes.org/songs3/26%20Miles.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
26 Miles - C,Sun City Uke,,https://scukes.org/songs/26%20Miles%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
26 Miles - G,Sun City Uke,,https://scukes.org/songs/26%20Miles%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
4 + 20,Dr. Uke 3900,,https://doctoruke.com/4+20.pdf,Open Song,,Ukulele,D,Dr. Uke,,Folk / Singer-Songwriter,,
Forty-Second Street,Dr. Uke 3900,,https://doctoruke.com/42ndstreet.pdf,Open Song,,Ukulele,Am,Dr. Uke,,Jazz / Pop Standard,,
